itemid,itemse,itemex,itemde,itemun,itemnm,itemag,itemda,itemwk,itemgr
"CPf5VB03  ","x"," ",    1.00000    ,"(gC/gP)             ","carbon-phosporus ratio in fineroot VB03           ","volume    ","volume    "," ","                              "
"CSf1VB03  ","x"," ",   0.100000    ,"(gC/gS)             ","carbon-sulphur ratio in stem VB03                 ","volume    ","volume    "," ","                              "
"CSf2VB03  ","x"," ",   0.100000    ,"(gC/gS)             ","carbon-sulphur ratio in foliage VB03              ","volume    ","volume    "," ","                              "
"CSf3VB03  ","x"," ",   0.100000    ,"(gC/gS)             ","carbon-sulphur ratio in branch VB03               ","volume    ","volume    "," ","                              "
"CSf4VB03  ","x"," ",   0.100000    ,"(gC/gS)             ","carbon-sulphur ratio in root VB03                 ","volume    ","volume    "," ","                              "
"CSf5VB03  ","x"," ",   0.100000    ,"(gC/gS)             ","carbon-sulphur ratio in fineroot                  ","volume    ","volume    "," ","                              "
"SWRegrVB03","x"," ",    1.00000    ,"(-)                 ","allow regrowth (y=1,n=0) after decay              ","volume    ","volume    "," ","                              "
"SWVB03Dec ","x"," ",    0.00000    ,"(-)                 ","biomass is decaying after prev mort type 3        ","volume    ","volume    "," ","                              "
"IniAgeVB03","x"," ",    0.00000    ,"(d)                 ","inital age of VB at start of simulation           ","volume    ","volume    "," ","                              "
"IniVB03dec","x"," ",    0.00000    ,"(-)                 ","inital decay Switch VB03 start simulation         ","volume    ","volume    "," ","                              "
"VB03ha    ","x"," ",   -999.000    ,"(tC/ha)             ","vegetation biomass cohort 3                       ","volume    ","volume    "," ","                              "
"VB03Aha   ","x"," ",   -999.000    ,"(tC/ha)             ","attainable vegetation biomass cohort 3            ","volume    ","volume    "," ","                              "
"fVB03     ","x"," ",   -999.000    ,"(gC/m2/d)           ","area scaled flux dVB03                            ","volume    ","volume    "," ","                              "
"VB03Age0ha","x"," ",   -999.000    ,"(tC/ha)             ","biomass at age = 0 for cohort 3                   ","volume    ","volume    "," ","                              "
"NutLimVB03","x"," ",   -999.000    ,"(-)                 ","nutrient limitation for vegetation growth         ","volume    ","volume    "," ","                              "
"dVB03     ","x"," ",   -999.000    ,"(gC/m3/d)           ","growth rate vegetation biomass cohort 3           ","volume    ","volume    "," ","                              "
"RcMrtVB03 ","x"," ",   0.100000E-01,"(d)                 ","rate consatant for mortality cohort 3             ","volume    ","volume    "," ","                              "
"fC2VB03P1 ","x"," ",   -999.000    ,"(gC/m2/d)           ","mortality foliage VB03 to POC1                    ","volume    ","volume    "," ","                              "
"fC2VB03P2 ","x"," ",   -999.000    ,"(gC/m2/d)           ","mortality foliage VB03 to POC2                    ","volume    ","volume    "," ","                              "
"fC2VB03P3 ","x"," ",   -999.000    ,"(gC/m2/d)           ","mortality foliage VB03 to POC3                    ","volume    ","volume    "," ","                              "
"fN2VB03P1 ","x"," ",   -999.000    ,"(gN/m2/d)           ","mortality foliage VB03 to PON1                    ","volume    ","volume    "," ","                              "
"fN2VB03P2 ","x"," ",   -999.000    ,"(gN/m2/d)           ","mortality foliage VB03 to PON2                    ","volume    ","volume    "," ","                              "
"fN2VB03P3 ","x"," ",   -999.000    ,"(gN/m2/d)           ","mortality foliage VB03 to PON3                    ","volume    ","volume    "," ","                              "
"fP2VB03P1 ","x"," ",   -999.000    ,"(gP/m2/d)           ","mortality foliage VB03 to POP1                    ","volume    ","volume    "," ","                              "
"fP2VB03P2 ","x"," ",   -999.000    ,"(gP/m2/d)           ","mortality foliage VB03 to POP2                    ","volume    ","volume    "," ","                              "
"fP2VB03P3 ","x"," ",   -999.000    ,"(gP/m2/d)           ","mortality foliage VB03 to POP3                    ","volume    ","volume    "," ","                              "
"fS2VB03P1 ","x"," ",   -999.000    ,"(gS/m2/d)           ","mortality foliage VB03 to POS1                    ","volume    ","volume    "," ","                              "
"fS2VB03P2 ","x"," ",   -999.000    ,"(gS/m2/d)           ","mortality foliage VB03 to POS2                    ","volume    ","volume    "," ","                              "
"fS2VB03P3 ","x"," ",   -999.000    ,"(gS/m2/d)           ","mortality foliage VB03 to POS3                    ","volume    ","volume    "," ","                              "
"fC5VB03P1 ","x"," ",   -999.000    ,"(gC/m2/d)           ","mortality fineroot VB03 to POC1                   ","volume    ","volume    "," ","                              "
"fC5VB03P2 ","x"," ",   -999.000    ,"(gC/m2/d)           ","mortality fineroot VB03 to POC2                   ","volume    ","volume    "," ","                              "
"fC5VB03P3 ","x"," ",   -999.000    ,"(gC/m2/d)           ","mortality fineroot VB03 to POC3                   ","volume    ","volume    "," ","                              "
"fN5VB03P1 ","x"," ",   -999.000    ,"(gN/m2/d)           ","mortality fineroot VB03 to PON1                   ","volume    ","volume    "," ","                              "
"fN5VB03P2 ","x"," ",   -999.000    ,"(gN/m2/d)           ","mortality fineroot VB03 to PON2                   ","volume    ","volume    "," ","                              "
"fN5VB03P3 ","x"," ",   -999.000    ,"(gN/m2/d)           ","mortality fineroot VB03 to PON3                   ","volume    ","volume    "," ","                              "
"fP5VB03P1 ","x"," ",   -999.000    ,"(gP/m2/d)           ","mortality fineroot VB03 to POP1                   ","volume    ","volume    "," ","                              "
"fP5VB03P2 ","x"," ",   -999.000    ,"(gP/m2/d)           ","mortality fineroot VB03 to POP2                   ","volume    ","volume    "," ","                              "
"fP5VB03P3 ","x"," ",   -999.000    ,"(gP/m2/d)           ","mortality fineroot VB03 to POP3                   ","volume    ","volume    "," ","                              "
"fS5VB03P1 ","x"," ",   -999.000    ,"(gS/m2/d)           ","mortality fineroot VB03 to POS1                   ","volume    ","volume    "," ","                              "
"fS5VB03P2 ","x"," ",   -999.000    ,"(gS/m2/d)           ","mortality fineroot VB03 to POS2                   ","volume    ","volume    "," ","                              "
"fS5VB03P3 ","x"," ",   -999.000    ,"(gS/m2/d)           ","mortality fineroot VB03 to POS3                   ","volume    ","volume    "," ","                              "
"fC1VB03P5 ","x"," ",   -999.000    ,"(gC/m3/d)           ","mortality stem VB03tto POC5                       ","volume    ","volume    "," ","                              "
"fC3VB03P5 ","x"," ",   -999.000    ,"(gC/m3/d)           ","mortality branch VB03 to POC5                     ","volume    ","volume    "," ","                              "
"fC4VB03P5 ","x"," ",   -999.000    ,"(gC/m3/d)           ","mortality root VB03 to POC5                       ","volume    ","volume    "," ","                              "
"fN1VB03P5 ","x"," ",   -999.000    ,"(gN/m3/d)           ","mortality stem VB03tto PON5                       ","volume    ","volume    "," ","                              "
"fN3VB03P5 ","x"," ",   -999.000    ,"(gN/m3/d)           ","mortality branch VB03 to PON5                     ","volume    ","volume    "," ","                              "
"fN4VB03P5 ","x"," ",   -999.000    ,"(gN/m3/d)           ","mortality root VB03 to PON5                       ","volume    ","volume    "," ","                              "
"fP1VB03P5 ","x"," ",   -999.000    ,"(gP/m3/d)           ","mortality stem VB03tto POP5                       ","volume    ","volume    "," ","                              "
